"Time"	"Estimated_Lat"	"Uncertainty_Lat"	"Estimated_Lon"	"Uncertainty_Lon"	"Estimated_Rad"	"Uncertainty_Rad"	"Date"	"Site"
"1"	2003.4962	4.84	0.08	-14.68	0.15	-0.66	0.28	"03JUL01"	"BJFS"
"2"	2003.4962	4.84	0.08	-14.68	0.15	-0.66	0.28	"03JUL01"	"BJFS"
"3"	2003.499	4.69	0.08	-14.38	0.15	0.83	0.28	"03JUL02"	"BJFS"
"4"	2003.5017	4.92	0.09	-14.95	0.15	0.53	0.29	"03JUL03"	"BJFS"
"5"	2003.5044	4.39	0.09	-14.69	0.16	1.5	0.3	"03JUL04"	"BJFS"
"6"	2003.5072	4.71	0.08	-15.31	0.15	-0.18	0.28	"03JUL05"	"BJFS"
"7"	2003.5099	4.95	0.09	-14.88	0.16	-0.37	0.29	"03JUL06"	"BJFS"
"8"	2003.5127	4.52	0.09	-14.04	0.16	0.69	0.31	"03JUL07"	"BJFS"
"9"	2004.4983	4.11	0.09	-11.87	0.16	-1.06	0.3	"04JUL01"	"BJFS"
"10"	2004.501	4.11	0.09	-11.35	0.15	0.2	0.3	"04JUL02"	"BJFS"
"11"	2004.5038	3.84	0.09	-11.89	0.16	-0.87	0.3	"04JUL03"	"BJFS"
"12"	2004.5065	3.86	0.09	-11.44	0.16	-0.41	0.31	"04JUL04"	"BJFS"
"13"	2004.5093	3.77	0.09	-11.24	0.15	-0.92	0.3	"04JUL05"	"BJFS"
"14"	2004.5148	3.53	0.09	-11.6	0.16	-0.06	0.3	"04JUL07"	"BJFS"
"15"	2005.4976	2.14	0.08	-8.33	0.16	0.01	0.29	"05JUL01"	"BJFS"
"16"	2005.5004	2.34	0.08	-8.41	0.16	-0.07	0.3	"05JUL02"	"BJFS"
"17"	2005.5031	2.42	0.08	-7.89	0.16	0.75	0.3	"05JUL03"	"BJFS"
"18"	2005.5059	2.47	0.08	-8.34	0.16	0.26	0.3	"05JUL04"	"BJFS"
"19"	2005.5085	2.53	0.08	-8.45	0.15	0.7	0.29	"05JUL05"	"BJFS"
"20"	2005.5114	2.44	0.09	-8.44	0.16	-0.44	0.3	"05JUL06"	"BJFS"
"21"	2006.4969	1.38	0.08	-4.89	0.16	0.78	0.29	"06JUL01"	"BJFS"
"22"	2006.4996	1.34	0.08	-5.09	0.16	0.71	0.28	"06JUL02"	"BJFS"
"23"	2006.5024	1.42	0.08	-4.56	0.16	0.36	0.29	"06JUL03"	"BJFS"
"24"	2006.5051	1.37	0.08	-4.06	0.16	0.41	0.28	"06JUL04"	"BJFS"
"25"	2006.5078	1.71	0.08	-4.58	0.16	-0.11	0.29	"06JUL05"	"BJFS"
"26"	2006.5106	1.36	0.08	-4.66	0.16	0.39	0.29	"06JUL06"	"BJFS"
"27"	2006.5133	1.47	0.08	-4.98	0.16	0.18	0.29	"06JUL07"	"BJFS"
"28"	2007.4962	0.68	0.08	-2.39	0.15	0.41	0.29	"07JUL01"	"BJFS"
"29"	2007.5017	0.64	0.08	-1.71	0.15	1.74	0.29	"07JUL03"	"BJFS"
"30"	2007.5044	0.62	0.08	-1.87	0.14	0.91	0.29	"07JUL04"	"BJFS"
"31"	2007.5072	0.52	0.08	-2.36	0.15	0.07	0.3	"07JUL05"	"BJFS"
"32"	2007.5099	0.66	0.08	-1.93	0.14	-0.32	0.29	"07JUL06"	"BJFS"
"33"	2007.5127	0.5	0.08	-1.91	0.15	-0.29	0.3	"07JUL07"	"BJFS"
"34"	2008.0137	0	0.01	0	0.02	0	0.04	"08JAN06"	"BJFS"
"35"	2008.4983	-0.21	0.08	0.71	0.15	-0.63	0.28	"08JUL01"	"BJFS"
"36"	2008.501	-0.34	0.08	0.23	0.15	0.57	0.28	"08JUL02"	"BJFS"
"37"	2008.5038	-0.49	0.08	0.57	0.14	1.49	0.28	"08JUL03"	"BJFS"
"38"	2008.5065	-0.56	0.08	0.47	0.14	0.4	0.29	"08JUL04"	"BJFS"
"39"	2008.5093	-0.55	0.08	0.98	0.14	0.32	0.29	"08JUL05"	"BJFS"
"40"	2008.512	-0.65	0.08	0.71	0.14	-0.25	0.29	"08JUL06"	"BJFS"
"41"	2008.5148	-0.7	0.08	0.24	0.14	-0.22	0.29	"08JUL07"	"BJFS"
"42"	2009.4976	-1.28	0.08	3.67	0.14	0.91	0.29	"09JUL01"	"BJFS"
"43"	2009.5004	-1.21	0.08	3.45	0.14	0.85	0.28	"09JUL02"	"BJFS"
"44"	2009.5031	-1.28	0.08	3.42	0.14	1.17	0.29	"09JUL03"	"BJFS"
"45"	2009.5059	-1.52	0.08	3.65	0.14	2.01	0.29	"09JUL04"	"BJFS"
"46"	2009.5085	-1.7	0.08	3.7	0.14	0	0.3	"09JUL05"	"BJFS"
